Hazard Name,Hazard Description,Likelihood,Severity
Sharp object exposure,Hazard involving: sharp object exposure.,4,3
Maintenance error,Hazard involving: maintenance error.,3,2
Health hazard,Hazard involving: health hazard.,2,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,5,4
Sharp object exposure,Hazard involving: sharp object exposure.,4,2
Insect/rodent/mould damage,Hazard involving: insect/rodent/mould damage.,5,4
Inadvertent activation of system,Hazard involving: inadvertent activation of system.,5,3
Drop hazard,Hazard involving: drop hazard.,4,5
Flammable materials,Hazard involving: flammable materials.,3,1
Damage containment failure,Hazard involving: damage containment failure.,2,4
High temperature or cryogenic fluid exposure,Hazard involving: high temperature or cryogenic fluid exposure.,3,3
Design deviation,Hazard involving: design deviation.,1,1
Interlock failure,Hazard involving: interlock failure.,3,2
Component substitution error,Hazard involving: component substitution error.,3,1
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",2,1
Flying object impact,Hazard involving: flying object impact.,5,1
Derailment due to overspeed,Hazard involving: derailment due to overspeed.,4,2
Impact from heavy object,Hazard involving: impact from heavy object.,3,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,1,3
Component substitution error,Hazard involving: component substitution error.,4,5
Ventilation failure,Hazard involving: ventilation failure.,3,1
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,2,3
Toxic substance control failure,Hazard involving: toxic substance control failure.,3,2
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",2,5
Fall from height,Hazard involving: fall from height.,2,3
Egress failure,Hazard involving: egress failure.,1,1
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,1,3
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,5,5
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",2,1
Interlock failure,Hazard involving: interlock failure.,1,5
Collision with rail structure,Hazard involving: collision with rail structure.,1,1
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,4,5
Person trapped,Hazard involving: person trapped.,4,4
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,3,1
Failure of active protective system,Hazard involving: failure of active protective system.,1,1
Power supply failure,Hazard involving: power supply failure.,2,5
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,2,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,1
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,1,1
Failure of active protective system,Hazard involving: failure of active protective system.,2,2
Ergonomics/lighting related hazard,Hazard involving: ergonomics/lighting related hazard.,3,4
Supervision failure,Hazard involving: supervision failure.,5,4
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",1,5
Hazardous construction materials,Hazard involving: hazardous construction materials.,5,4
Crash safety hazard,Hazard involving: crash safety hazard.,4,3
Motion-related energy source hazard,Hazard involving: motion-related energy source hazard.,2,1
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,2,5
Electrostatic discharge including lightning,Hazard involving: electrostatic discharge including lightning.,1,5
Collision between rail vehicles,Hazard involving: collision between rail vehicles.,5,5
Explosive substances,Hazard involving: explosive substances.,2,3
Hazardous surface hazard,Hazard involving: hazardous surface hazard.,1,5
Material incompatibilities,Hazard involving: material incompatibilities.,1,4
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,4,5
Component substitution error,Hazard involving: component substitution error.,2,5
Flying object impact,Hazard involving: flying object impact.,1,4
Fail-safe design failure,Hazard involving: fail-safe design failure.,4,5
Component substitution error,Hazard involving: component substitution error.,1,4
Pressure system failure,Hazard involving: pressure system failure.,2,2
Flying object impact,Hazard involving: flying object impact.,2,4
Noise hazard,Hazard involving: noise hazard.,3,2
Sharp object exposure,Hazard involving: sharp object exposure.,5,5
Electromagnetic interference risk,Hazard involving: electromagnetic interference risk.,5,2
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,2
Flying object impact,Hazard involving: flying object impact.,4,4
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,1,2
Impact from object falling from vehicle,Hazard involving: impact from object falling from vehicle.,2,4
Damage repair failure,Hazard involving: damage repair failure.,5,1
Toxic substance control failure,Hazard involving: toxic substance control failure.,2,4
Sharp object exposure,Hazard involving: sharp object exposure.,4,3
Extreme pressure exposure,Hazard involving: extreme pressure exposure.,1,2
Component substitution error,Hazard involving: component substitution error.,5,1
Ionising or non-ionising radiation,Hazard involving: ionising or non-ionising radiation.,1,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,3,1
Toxic or corrosive substance exposure,Hazard involving: toxic or corrosive substance exposure.,3,2
Collision with rail structure,Hazard involving: collision with rail structure.,4,3
Failure of active protective system,Hazard involving: failure of active protective system.,4,2
Crash safety hazard,Hazard involving: crash safety hazard.,3,1
Explosive substances,Hazard involving: explosive substances.,1,4
Fall from height,Hazard involving: fall from height.,4,4
Drop hazard,Hazard involving: drop hazard.,3,2
Sharp object exposure,Hazard involving: sharp object exposure.,4,4
"Fire in vehicle, station, depot or trackside","Hazard involving: fire in vehicle, station, depot or trackside.",2,3
Pressure system failure,Hazard involving: pressure system failure.,5,2
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,5,3
Damage containment failure,Hazard involving: damage containment failure.,4,2
Derailment due to rolling stock fault,Hazard involving: derailment due to rolling stock fault.,5,3
Hydraulic system failure,Hazard involving: hydraulic system failure.,3,1
Exposure to hazardous voltages,Hazard involving: exposure to hazardous voltages.,3,4
Support equipment hazard,Hazard involving: support equipment hazard.,4,1
Hostile act,Hazard involving: hostile act.,4,2
Drop hazard,Hazard involving: drop hazard.,5,1
Sharp object exposure,Hazard involving: sharp object exposure.,1,2
Derailment due to object on track,Hazard involving: derailment due to object on track.,5,4
Shock and vibration hazard,Hazard involving: shock and vibration hazard.,4,4
Hazard containment failure,Hazard involving: hazard containment failure.,2,4
Warning alarm failure,Hazard involving: warning alarm failure.,4,2
Cut or puncture projection exposure,Hazard involving: cut or puncture projection exposure.,2,5
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",1,1
Damage repair failure,Hazard involving: damage repair failure.,1,2
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,3,5
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",2,1
Fire/explosion initiation risk,Hazard involving: fire/explosion initiation risk.,5,5
Collision with object on track,Hazard involving: collision with object on track.,3,4
Person trapped,Hazard involving: person trapped.,3,4
Electrical arcing exposure,Hazard involving: electrical arcing exposure.,2,2
Supervision failure,Hazard involving: supervision failure.,5,1
Extreme temperature exposure,Hazard involving: extreme temperature exposure.,1,5
Design deviation,Hazard involving: design deviation.,4,3
Derailment due to infrastructure failure,Hazard involving: derailment due to infrastructure failure.,1,1
Egress/rescue hazard,Hazard involving: egress/rescue hazard.,2,3
Incident recording failure,Hazard involving: incident recording failure.,1,2
Sharp tools or machinery,Hazard involving: sharp tools or machinery.,3,3
Maintenance error,Hazard involving: maintenance error.,2,5
Material incompatibilities,Hazard involving: material incompatibilities.,1,1
Exhaust gas exposure,Hazard involving: exhaust gas exposure.,4,3
Maintenance error,Hazard involving: maintenance error.,4,4
"Smoke exposure in vehicle, station or depot","Hazard involving: smoke exposure in vehicle, station or depot.",4,1
EM interference affecting navigation/timing,Hazard involving: em interference affecting navigation/timing.,1,1
Design deviation,Hazard involving: design deviation.,2,1
Support equipment hazard,Hazard involving: support equipment hazard.,2,5
Laser radiation exposure,Hazard involving: laser radiation exposure.,1,4
Exposure to toxic materials,Hazard involving: exposure to toxic materials.,4,3
Hardware/software control failure,Hazard involving: hardware/software control failure.,2,1
Sharp object exposure,Hazard involving: sharp object exposure.,1,5
